Comuna,cod_comuna,Provincia,Region,codregion
Iquique,1101,Iquique,Region de Tarapaca,1
Alto Hospicio,1107,Iquique,Region de Tarapaca,1
Pozo Almonte,1401,Iquique,Region de Tarapaca,1
Camina,1402,Iquique,Region de Tarapaca,1
Colchane,1403,Iquique,Region de Tarapaca,1
Huara,1404,Iquique,Region de Tarapaca,1
Pica,1405,Iquique,Region de Tarapaca,1
Antofagasta,2101,Antofagasta,Region de Antofagasta,2
Mejillones,2102,Antofagasta,Region de Antofagasta,2
Sierra Gorda,2103,Antofagasta,Region de Antofagasta,2
Taltal,2104,Antofagasta,Region de Antofagasta,2
Calama,2201,El Loa,Region de Antofagasta,2
Ollague,2202,El Loa,Region de Antofagasta,2
San Pedro de Atacama,2203,El Loa,Region de Antofagasta,2
Tocopilla,2301,Tocopilla,Region de Antofagasta,2
Maria Elena,2302,Tocopilla,Region de Antofagasta,2
Copiapo,3101,Copiapo,Region de Atacama,3
Caldera,3102,Copiapo,Region de Atacama,3
Tierra Amarilla,3103,Copiapo,Region de Atacama,3
Chanaral,3201,Chanaral,Region de Atacama,3
Diego de Almagro,3202,Chanaral,Region de Atacama,3
Vallenar,3301,Huasco,Region de Atacama,3
Alto del Carmen,3302,Huasco,Region de Atacama,3
Freirina,3303,Huasco,Region de Atacama,3
Huasco,3304,Huasco,Region de Atacama,3
La Serena,4101,Elqui,Region de Coquimbo,4
Coquimbo,4102,Elqui,Region de Coquimbo,4
Andacollo,4103,Elqui,Region de Coquimbo,4
La Higuera,4104,Elqui,Region de Coquimbo,4
Paihuano,4105,Elqui,Region de Coquimbo,4
Vicuna,4106,Elqui,Region de Coquimbo,4
Illapel,4201,Choapa,Region de Coquimbo,4
Canela,4202,Choapa,Region de Coquimbo,4
Los Vilos,4203,Choapa,Region de Coquimbo,4
Salamanca,4204,Choapa,Region de Coquimbo,4
Ovalle,4301,Limari,Region de Coquimbo,4
Combarbala,4302,Limari,Region de Coquimbo,4
Monte Patria,4303,Limari,Region de Coquimbo,4
Punitaqui,4304,Limari,Region de Coquimbo,4
Rio Hurtado,4305,Limari,Region de Coquimbo,4
Valparaiso,5101,Valparaiso,Region de Valparaiso,5
Casablanca,5102,Valparaiso,Region de Valparaiso,5
Concon,5103,Valparaiso,Region de Valparaiso,5
Juan Fernandez,5104,Valparaiso,Region de Valparaiso,5
Puchuncavi,5105,Valparaiso,Region de Valparaiso,5
Quintero,5107,Valparaiso,Region de Valparaiso,5
Vina del Mar,5109,Valparaiso,Region de Valparaiso,5
Isla de Pascua,5201,Isla de Pascua,Region de Valparaiso,5
Los Andes,5301,Los Andes,Region de Valparaiso,5
Calle Larga,5302,Los Andes,Region de Valparaiso,5
Rinconada,5303,Los Andes,Region de Valparaiso,5
San Esteban,5304,Los Andes,Region de Valparaiso,5
La Ligua,5401,Petorca,Region de Valparaiso,5
Cabildo,5402,Petorca,Region de Valparaiso,5
Papudo,5403,Petorca,Region de Valparaiso,5
Petorca,5404,Petorca,Region de Valparaiso,5
Zapallar,5405,Petorca,Region de Valparaiso,5
Quillota,5501,Quillota,Region de Valparaiso,5
Calera,5502,Quillota,Region de Valparaiso,5
Hijuelas,5503,Quillota,Region de Valparaiso,5
La Cruz,5504,Quillota,Region de Valparaiso,5
Nogales,5506,Quillota,Region de Valparaiso,5
San Antonio,5601,San Antonio,Region de Valparaiso,5
Algarrobo,5602,San Antonio,Region de Valparaiso,5
Cartagena,5603,San Antonio,Region de Valparaiso,5
El Quisco,5604,San Antonio,Region de Valparaiso,5
El Tabo,5605,San Antonio,Region de Valparaiso,5
Santo Domingo,5606,San Antonio,Region de Valparaiso,5
San Felipe,5701,San Felipe,Region de Valparaiso,5
Catemu,5702,San Felipe,Region de Valparaiso,5
Llaillay,5703,San Felipe,Region de Valparaiso,5
Panquehue,5704,San Felipe,Region de Valparaiso,5
Putaendo,5705,San Felipe,Region de Valparaiso,5
Santa Maria,5706,San Felipe,Region de Valparaiso,5
Quilpue,5801,Marga Marga,Region de Valparaiso,5
Limache,5802,Marga Marga,Region de Valparaiso,5
Olmue,5803,Marga Marga,Region de Valparaiso,5
Villa Alemana,5804,Marga Marga,Region de Valparaiso,5
Rancagua,6101,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Codegua,6102,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Coinco,6103,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Coltauco,6104,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Donihue,6105,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Graneros,6106,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Las Cabras,6107,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Machali,6108,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Malloa,6109,Cachapoal,Region del Libertador Bernardo O'Higgins,6
Mostazal,6110,Cachapoal,Region del Libertador Bernardo O'Higgins,6
